Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp,Starting Anneal Field,Number of Temps
110,170000,120000,5000,1.0,0.0,0.1,20.0,1.0,21

Temperature,K,Spatial Spin Correlation
2.274999999999999,26,-0.0004150804358
2.274999999999999,27,-0.000417796197558
2.274999999999999,28,-0.000468540964202
2.274999999999999,29,-0.000502481093373
2.274999999999999,30,-0.000531306767661
2.274999999999999,31,-0.000474468769053
2.274999999999999,32,-0.000519754440997
2.274999999999999,33,-0.000529128644018
2.274999999999999,34,-0.000620513337874
2.274999999999999,35,-0.000673822224757
2.274999999999999,36,-0.000721382519493
2.274999999999999,37,-0.000761829448407
2.274999999999999,38,-0.000775187687711
2.274999999999999,39,-0.000794308304754
2.274999999999999,40,-0.000847617191637
2.274999999999999,41,-0.000875009164286
2.274999999999999,42,-0.000896886899865
2.274999999999999,43,-0.000904096764835
2.274999999999999,44,-0.000882605025851
2.274999999999999,45,-0.000796624284324
2.274999999999999,46,-0.000781790986604
2.274999999999999,47,-0.000749780840407
2.274999999999999,48,-0.00068887609196
2.274999999999999,49,-0.00064279085564
2.274999999999999,50,-0.000671492459594
2.274999999999999,51,-0.000630052968007
2.274999999999999,52,-0.000573421753289
2.274999999999999,53,-0.00055849195642
2.274999999999999,54,-0.00052213934853
2.279999999999999,1,0.00485640638423
2.279999999999999,2,0.00372877247443
2.279999999999999,3,0.00305152766298
2.279999999999999,4,0.00257770305708
2.279999999999999,5,0.00219039683082
2.279999999999999,6,0.00186650433087
2.279999999999999,7,0.00159546579324
2.279999999999999,8,0.00133156819263
2.279999999999999,9,0.00110141772288
2.279999999999999,10,0.000927994967005
2.279999999999999,11,0.000721900356483
2.279999999999999,12,0.000614634659862
2.279999999999999,13,0.000476792518684
2.279999999999999,14,0.000348434865268
2.279999999999999,15,0.000232511816446
2.279999999999999,16,0.000116740409144
2.279999999999999,17,-4.98446927661e-05
2.279999999999999,18,-0.000169944776169
2.279999999999999,19,-0.000190788592297
2.279999999999999,20,-0.000206655809468
2.279999999999999,21,-0.000295310955974
2.279999999999999,22,-0.000304533517475
2.279999999999999,23,-0.00038406260163
2.279999999999999,24,-0.000401087808586
2.279999999999999,25,-0.000438584620667
2.279999999999999,26,-0.000456754031816
2.279999999999999,27,-0.000506409736639
2.279999999999999,28,-0.000510159417847
2.279999999999999,29,-0.000554673096601
2.279999999999999,30,-0.000579459592235
2.279999999999999,31,-0.000625131260774
2.279999999999999,32,-0.000641329332169
2.279999999999999,33,-0.000748277960158
2.279999999999999,34,-0.000769342345769
2.279999999999999,35,-0.000766530084863
2.279999999999999,36,-0.000783417435892
2.279999999999999,37,-0.000814834801603
2.279999999999999,38,-0.000857060071973
2.279999999999999,39,-0.000941469255935
2.279999999999999,40,-0.000976277877445
2.279999999999999,41,-0.000998003971504
2.279999999999999,42,-0.00102620929412
2.279999999999999,43,-0.00105049950842
2.279999999999999,44,-0.00105357369559
2.279999999999999,45,-0.00105435947437
2.279999999999999,46,-0.0010718120347
2.279999999999999,47,-0.00115014177229
2.279999999999999,48,-0.00120215481346
2.279999999999999,49,-0.0011981156348
2.279999999999999,50,-0.00120842725813
2.279999999999999,51,-0.00125845517395
2.279999999999999,52,-0.00126595453637
2.279999999999999,53,-0.00135121842708
2.279999999999999,54,-0.00133293873119
2.284999999999999,1,0.00339842129899
2.284999999999999,2,0.00231088967829
2.284999999999999,3,0.00180493085585
2.284999999999999,4,0.00143910258298
